"","PlayerId","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"151",374,"Germany","Delantero","-AMC-FW-",184,84,"Miroslav","Klose",1978-06-08 19:00:00,13,"AM(C),FW","Attacking Midfielder (Center) / Forward","Miroslav Klose",36,1,0,1,0,0,0,0,0,19,11,4,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,2,1,0,0
"89",1212,"Colombia","Arquero","-GK-",191,94,"Faryd","Mondragón",1971-06-20 19:00:00,20,"GK","Goalkeeper","Faryd Mondragón",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2179,"Belgium","Defensa","-DC-",197,96,"Daniel","van Buyten",1978-02-06 19:00:00,5,"D(C)","Defender (Center)","Daniel van Buyten",36,1,0,0,0,0,0,0,0,38,29,4,0,2,4,1,1,3,0,0,0,2,0,0,0,0,0,0,1,0,0,6,2,0,0
"162",4173,"Netherlands","Mediocampo","-AML-AMR-FW-",180,80,"Arjen","Robben",1984-01-22 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Arjen Robben",30,1,0,0,0,0,0,0,0,48,42,2,1,1,0,1,0,0,1,5,0,0,0,4,8,8,2,3,3,13,4,4,4,1,0
"15",4445,"Argentina","Mediocampo","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,15,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",4563,"France","Arquero","-GK-",184,80,"Mickaël","Landreau",1979-05-13 19:00:00,21,"GK","Goalkeeper","Mickaël Landreau",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",4564,"Netherlands","Delantero","-FW-",183,71,"Robin","van Persie",1983-08-05 19:00:00,4,"FW","Forward","Robin van Persie",30,1,0,0,0,0,0,0,0,28,20,1,3,0,0,5,0,1,0,5,4,0,0,1,1,0,5,0,2,1,0,4,3,0,0
"149",4567,"Germany","Mediocampo","-MC-",183,79,"Bastian","Schweinsteiger",1984-07-31 19:00:00,11,"M(C)","Midfielder (Center)","Bastian Schweinsteiger",29,1,0,0,1,0,0,0,0,53,45,0,1,1,0,3,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0,0
"172",4608,"Netherlands","Mediocampo","-DMC-",174,72,"Nigel","de Jong",1984-11-29 19:00:00,11,"DM(C)","Defensive Midfielder (Center)","Nigel de Jong",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",4871,"Brazil","Defensa","-DL-DMC-",176,73,"Maxwell","Cabelino Andrade",1981-08-26 19:00:00,22,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Maxwell",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",4923,"Netherlands","Mediocampo","-AMC-AML-",170,67,"Wesley","Sneijder",1984-06-08 19:00:00,9,"AM(CL)","Attacking Midfielder (Center, Left)","Wesley Sneijder",30,1,0,0,0,0,0,0,0,85,70,0,0,0,1,1,0,0,0,5,2,0,0,2,0,1,0,2,0,6,1,14,8,0,0
"9",5070,"Argentina","Defensa","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,9,"D(C)","Defender (Center)","Hugo Campagnaro",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",5490,"Germany","Arquero","-GK-",188,85,"Roman","Weidenfeller",1980-08-05 19:00:00,22,"GK","Goalkeeper","Roman Weidenfeller",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",5570,"Germany","Defensa","-DL-DMC-DR-",170,66,"Philipp","Lahm",1983-11-10 19:00:00,9,"D(LR),DM(C)","Defender (Left, Right) / Defensive Midfielder (Center)","Philipp Lahm",30,1,0,0,0,0,0,0,0,54,48,1,0,2,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
"74",5689,"Colombia","Defensa","-DC-",186,83,"Mario","Yepes",1976-01-12 19:00:00,5,"D(C)","Defender (Center)","Mario Yepes",38,1,0,0,1,0,0,0,0,18,14,0,1,6,3,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
