"","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"59","Germany","Delantero","-AMC-FW-",184,84,"Miroslav","Klose",1978-06-08 19:00:00,13,"AM(C),FW","Attacking Midfielder (Center) / Forward","Miroslav Klose",36,1,0,1,0,0,0,0,0,16,10,1,2,3,2,3,0,1,0,1,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0
"70","Netherlands","Mediocampo","-AML-AMR-FW-",180,80,"Arjen","Robben",1984-01-22 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Arjen Robben",30,1,0,0,1,0,0,0,0,37,34,0,2,0,1,3,0,0,0,1,0,0,0,2,5,6,0,5,4,5,2,1,0,2,0
"12","Argentina","Mediocampo","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,12,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Netherlands","Delantero","-FW-",183,71,"Robin","van Persie",1983-08-05 19:00:00,8,"FW","Forward","Robin van Persie",31,1,0,0,0,0,0,1,0,19,14,1,1,1,1,4,0,0,2,2,2,0,0,0,0,1,1,5,1,1,0,0,0,1,1
"55","Germany","Mediocampo","-MC-",183,79,"Bastian","Schweinsteiger",1984-07-31 19:00:00,9,"M(C)","Midfielder (Center)","Bastian Schweinsteiger",30,1,0,0,1,0,0,0,0,105,94,2,1,4,0,2,0,2,1,0,0,0,0,0,1,6,0,0,0,2,0,8,7,0,0
"82","Netherlands","Mediocampo","-DMC-",174,72,"Nigel","de Jong",1984-11-29 19:00:00,13,"DM(C)","Defensive Midfielder (Center)","Nigel de Jong",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Brazil","Defensa","-DL-DMC-",176,73,"Maxwell","Cabelino Andrade",1981-08-26 19:00:00,20,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Maxwell",32,1,0,0,0,0,0,0,0,37,34,3,2,0,1,1,0,6,2,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0
"79","Netherlands","Mediocampo","-AMC-AML-",170,67,"Wesley","Sneijder",1984-06-08 19:00:00,10,"AM(CL)","Attacking Midfielder (Center, Left)","Wesley Sneijder",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Argentina","Defensa","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,9,"D(C)","Defender (Center)","Hugo Campagnaro",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Germany","Arquero","-GK-",188,85,"Roman","Weidenfeller",1980-08-05 19:00:00,22,"GK","Goalkeeper","Roman Weidenfeller",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Germany","Defensa","-DL-DMC-DR-",170,66,"Philipp","Lahm",1983-11-10 19:00:00,4,"D(LR),DM(C)","Defender (Left, Right) / Defensive Midfielder (Center)","Philipp Lahm",30,1,0,0,0,0,0,0,0,104,92,2,0,0,2,0,0,2,0,0,0,0,0,1,2,3,0,0,1,6,2,4,3,1,0
"25","Brazil","Defensa","-DC-DR-",173,64,"Daniel","Alves da Silva",1983-05-05 19:00:00,2,"D(CR)","Defender (Center, Right)","Dani Alves",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Argentina","Defensa","-DC-DMC-",184,80,"Martín","Demichelis",1980-12-19 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Martín Demichelis",33,1,0,0,0,0,0,0,0,43,38,3,2,2,6,2,0,6,0,0,0,0,0,0,0,2,0,1,0,0,0,3,2,0,0
"63","Germany","Delantero","-AMC-AML-FW-",182,83,"Lukas","Podolski",1985-06-03 19:00:00,17,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Lukas Podolski",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Germany","Defensa","-DC-",198,90,"Per","Mertesacker",1984-09-28 19:00:00,14,"D(C)","Defender (Center)","Per Mertesacker",29,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Brazil","Defensa","-DC-",188,87,"Dante Bonfim","Costa Santos",1983-10-17 19:00:00,21,"D(C)","Defender (Center)","Dante",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Argentina","Defensa","-DC-DMC-",174,74,"Javier","Mascherano",1984-06-07 19:00:00,4,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Javier Mascherano",30,1,0,0,1,0,0,0,0,67,55,2,1,2,5,3,0,4,1,0,0,0,0,0,0,3,0,1,2,0,0,9,6,0,0
"78","Netherlands","Mediocampo","-AMC-AML-AMR-FW-",184,77,"Dirk","Kuyt",1980-07-21 19:00:00,9,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Dirk Kuyt",34,1,0,0,0,0,0,0,0,36,29,5,5,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1
"35","Brazil","Defensa","-DR-",184,77,"Maicon Douglas","Sisenando",1981-07-25 19:00:00,12,"D(R)","Defender (Right)","Maicon",33,1,0,0,0,0,0,0,0,52,47,2,1,3,1,0,0,4,1,2,0,0,0,1,2,3,0,0,0,4,1,1,1,0,0
"86","Netherlands","Delantero","-AMR-FW-",186,78,"Klaas-Jan","Huntelaar",1983-08-11 19:00:00,17,"AM(R),FW","Attacking Midfielder (Right) / Forward","Klaas-Jan Huntelaar",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Argentina","Delantero","-AMC-AMR-FW-",169,67,"Lionel","Messi",1987-06-23 19:00:00,1,"AM(CR),FW","Attacking Midfielder (Center, Right) / Forward","Lionel Messi",27,1,0,0,0,0,0,0,0,37,26,0,1,1,0,1,0,0,1,4,0,0,0,2,7,2,0,5,3,2,1,3,3,4,0
"51","Germany","Arquero","-GK-",193,92,"Manuel","Neuer",1986-03-26 19:00:00,5,"GK","Goalkeeper","Manuel Neuer",28,1,0,0,0,0,0,0,0,83,65,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,46,29,0,0
"54","Germany","Mediocampo","-AMC-AML-AMR-",183,76,"Mesut","Özil",1988-10-14 19:00:00,8,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Mesut Özil",25,1,0,1,0,0,0,0,0,70,59,0,0,2,0,2,0,0,4,1,0,0,0,2,0,2,1,3,4,1,0,1,1,0,0
"58","Germany","Mediocampo","-DMC-",189,85,"Sami","Khedira",1987-04-03 18:00:00,12,"DM(C)","Defensive Midfielder (Center)","Sami Khedira",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Argentina","Defensa","-DC-",185,80,"Ezequiel","Garay",1986-10-09 19:00:00,6,"D(C)","Defender (Center)","Ezequiel Garay",27,1,0,0,0,0,0,0,0,39,35,1,2,2,3,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0
"72","Netherlands","Defensa","-DC-",189,80,"Ron","Vlaar",1985-02-15 19:00:00,3,"D(C)","Defender (Center)","Ron Vlaar",29,1,0,0,0,0,0,0,0,23,19,2,2,2,4,1,1,8,1,0,0,1,0,0,1,1,0,1,0,0,0,4,2,1,0
"41","Brazil","Arquero","-GK-",186,80,"Julio Cesar","Soares De Espindola",1979-09-02 19:00:00,18,"GK","Goalkeeper","Julio César",34,1,0,0,0,0,0,0,0,13,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0
"8","Argentina","Defensa","-DL-DR-",174,74,"Pablo","Zabaleta",1985-01-15 19:00:00,8,"D(LR)","Defender (Left, Right)","Pablo Zabaleta",29,1,0,0,0,0,0,0,0,33,23,1,1,8,1,0,0,5,1,0,0,0,0,0,0,1,0,2,0,1,0,9,1,0,0
"19","Argentina","Delantero","-AMC-AML-FW-",173,70,"Sergio","Agüero",1988-06-01 19:00:00,19,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Sergio Agüero",26,0,1,0,1,0,0,0,0,19,17,2,5,1,1,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"18","Argentina","Delantero","-AMC-AML-AMR-FW-",175,66,"Rodrigo","Palacio",1982-02-04 19:00:00,18,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Rodrigo Palacio",32,0,1,0,0,0,0,0,0,5,4,0,1,0,0,3,0,1,0,1,0,0,0,1,2,0,0,0,3,0,0,1,1,0,0
"31","Brazil","Delantero","-FW-",185,75,"Frederico","Chaves Guedes",1983-10-02 19:00:00,8,"FW","Forward","Fred",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Netherlands","Defensa","-DR-",178,72,"Paul","Verhaegh",1983-08-31 19:00:00,23,"D(R)","Defender (Right)","Paul Verhaegh",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Brazil","Delantero","-FW-",191,78,"João Alves","de Assis Silva",1987-03-19 19:00:00,19,"FW","Forward","Jô",27,1,0,0,0,0,0,0,0,31,27,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
