"","PlayerId","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"128",92,"Nigeria","Forward","-AMC-FW-",191,76,"Foluwashola","Ameobi",1981-10-11 19:00:00,13,"AM(C),FW","Attacking Midfielder (Center) / Forward","Shola Ameobi",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",374,"Germany","Forward","-AMC-FW-",184,84,"Miroslav","Klose",1978-06-08 19:00:00,12,"AM(C),FW","Attacking Midfielder (Center) / Forward","Miroslav Klose",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",2179,"Belgium","Defender","-DC-",197,96,"Daniel","van Buyten",1978-02-06 19:00:00,3,"D(C)","Defender (Center)","Daniel van Buyten",36,1,0,0,0,0,0,0,0,47,39,7,2,3,1,1,0,7,0,2,0,1,0,2,0,2,0,0,0,0,0,6,4,0,0
"126",2180,"Nigeria","Defender","-DC-",188,76,"Joseph","Yobo",1980-09-05 19:00:00,11,"D(C)","Defender (Center)","Joseph Yobo",33,1,0,0,0,0,0,0,0,30,26,0,1,3,3,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3,0,0
"24",2828,"Mexico","Defender","-DC-",183,76,"Rafael","Márquez",1979-02-12 19:00:00,1,"D(C)","Defender (Center)","Rafael Márquez",35,1,0,0,1,0,0,0,0,62,52,0,0,0,1,1,0,5,2,1,0,0,0,0,1,1,0,0,0,0,0,12,8,0,0
"77",2960,"Greece","Midfielder","-AMC-",176,74,"Giorgos","Karagounis",1977-03-05 19:00:00,8,"AM(C)","Attacking Midfielder (Center)","Giorgos Karagounis",37,1,0,0,0,0,0,0,0,77,72,0,1,6,0,3,0,0,2,4,1,0,0,1,1,4,0,0,0,7,3,11,9,0,0
"262",3431,"USA","Forward",NA,173,70,"DaMarcus","Beasley",1982-05-23 19:00:00,9,"FW","Forward","DaMarcus Beasley",32,1,0,0,0,0,0,0,0,51,46,3,2,5,1,0,0,4,3,0,0,0,0,1,3,7,0,1,1,8,2,5,4,0,0
"117",3525,"Nigeria","Goalkeeper","-GK-",182,85,"Vincent","Enyeama",1982-08-28 19:00:00,2,"GK","Goalkeeper","Vincent Enyeama",31,1,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"135",3530,"Nigeria","keeper",NA,190,90,"Austin","Ejide",1984-04-07 18:00:00,20,"GK","Goalkeeper","Austin Ejide",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",4173,"Netherlands","Midfielder","-AML-AMR-FW-",180,80,"Arjen","Robben",1984-01-22 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Arjen Robben",30,1,0,0,0,0,0,0,0,21,21,2,2,0,0,0,0,0,1,1,1,0,0,4,7,5,0,1,5,13,4,1,1,0,0
