"","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"287","England","Mediocampo","-MC-",185,82,"Steven","Gerrard",1980-05-29 19:00:00,11,"M(C)","Midfielder (Center)","Steven Gerrard",34,1,0,0,1,0,0,0,0,41,31,2,0,3,1,1,0,4,1,1,0,1,0,1,1,0,0,0,1,7,2,10,7,0,0
"295","England","Mediocampo","-MC-",184,89,"Frank","Lampard",1978-06-19 19:00:00,19,"M(C)","Midfielder (Center)","Frank Lampard",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","Nigeria","Delantero","-AMC-FW-",191,76,"Foluwashola","Ameobi",1981-10-11 19:00:00,13,"AM(C),FW","Attacking Midfielder (Center) / Forward","Shola Ameobi",32,0,1,0,0,0,0,0,0,13,12,2,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,-1,0,0,1,1,0,0
"329","Germany","Delantero","-AMC-FW-",184,84,"Miroslav","Klose",1978-06-08 19:00:00,7,"AM(C),FW","Attacking Midfielder (Center) / Forward","Miroslav Klose",36,0,1,0,0,0,0,1,0,2,2,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"453","Italy","Delantero","-AMC-AML-FW-",175,78,"Antonio","Cassano",1982-07-11 19:00:00,16,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Antonio Cassano",31,0,1,0,0,0,0,0,0,24,14,0,0,0,0,0,0,0,0,3,1,0,0,1,1,3,1,0,2,0,0,4,2,1,0
"206","Colombia","Arquero","-GK-",191,94,"Faryd","Mondragón",1971-06-20 19:00:00,22,"GK","Goalkeeper","Faryd Mondragón",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146","Cameroon","Delantero","-AML-AMR-FW-",179,75,"Samuel","Eto'o",1981-03-09 19:00:00,8,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Samuel Eto'o",33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360","Ghana","Mediocampo","-DMC-DR-",183,78,"Michael","Essien",1982-12-02 19:00:00,15,"D(R),DM(C)","Defender (Right) / Defensive Midfielder (Center)","Michael Essien",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Belgium","Defensa","-DC-",197,96,"Daniel","van Buyten",1978-02-06 19:00:00,4,"D(C)","Defender (Center)","Daniel van Buyten",36,1,0,0,0,0,0,0,0,57,48,2,1,0,1,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,16,12,0,0
"562","Nigeria","Defensa","-DC-",188,76,"Joseph","Yobo",1980-09-05 19:00:00,10,"D(C)","Defender (Center)","Joseph Yobo",33,1,0,0,0,0,0,0,0,18,15,2,0,2,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
