"TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"Germany","Delantero","-AMC-FW-",184,84,"Miroslav","Klose",1978-06-08 19:00:00,10,"AM(C),FW","Attacking Midfielder (Center) / Forward","Miroslav Klose",36,1,2,1,0,0,0,2,0,29,18,3,1,3,0,5,0,0,2,6,4,0,0,0,1,1,1,2,3,1,0,0,0,1,0
"Netherlands","Mediocampo","-AML-AMR-FW-",180,80,"Arjen","Robben",1984-01-22 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Arjen Robben",30,5,0,0,0,0,0,3,1,126,107,7,12,1,0,6,0,0,3,13,9,0,0,11,21,14,3,8,17,21,7,6,4,1,1
"Argentina","Mediocampo","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,15,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,1,1,1,0,0,0,0,0,36,35,0,2,3,2,0,0,0,0,2,1,0,0,1,1,0,0,1,1,2,0,0,0,1,1
"Netherlands","Delantero","-FW-",183,71,"Robin","van Persie",1983-08-05 19:00:00,8,"FW","Forward","Robin van Persie",30,4,0,4,2,0,0,3,0,67,44,10,12,1,1,9,0,6,2,9,6,0,0,1,5,6,6,7,5,4,0,5,5,0,0
"Germany","Mediocampo","-MC-",183,79,"Bastian","Schweinsteiger",1984-07-31 19:00:00,12,"M(C)","Midfielder (Center)","Bastian Schweinsteiger",29,3,1,2,0,0,0,0,0,271,245,4,1,8,2,6,0,5,4,6,2,1,0,4,0,10,0,6,2,4,1,14,14,2,1
"Netherlands","Mediocampo","-DMC-",174,72,"Nigel","de Jong",1984-11-29 19:00:00,11,"DM(C)","Defensive Midfielder (Center)","Nigel de Jong",29,5,0,2,0,0,0,0,0,150,124,1,2,11,8,8,0,5,5,2,2,1,0,0,0,5,0,1,0,0,0,35,28,0,0
"Brazil","Defensa","-DL-DMC-",176,73,"Maxwell","Cabelino Andrade",1981-08-26 19:00:00,22,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Maxwell",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands","Mediocampo","-AMC-AML-",170,67,"Wesley","Sneijder",1984-06-08 19:00:00,10,"AM(CL)","Attacking Midfielder (Center, Left)","Wesley Sneijder",30,5,0,1,0,0,0,1,1,208,164,0,4,4,1,6,0,1,6,13,2,0,0,9,3,5,0,7,3,21,3,23,14,1,1
"Argentina","Defensa","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,9,"D(C)","Defender (Center)","Hugo Campagnaro",34,1,0,1,0,0,0,0,0,39,39,1,2,0,2,0,1,3,0,0,0,1,0,0,1,2,0,0,1,0,0,5,5,0,0
"Germany","Arquero","-GK-",188,85,"Roman","Weidenfeller",1980-08-05 19:00:00,22,"GK","Goalkeeper","Roman Weidenfeller",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
