"TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"Argentina","Delantero","-AMC-AMR-FW-",169,67,"Lionel","Messi",1987-06-23 19:00:00,1,"AM(CR),FW","Attacking Midfielder (Center, Right) / Forward","Lionel Messi",27,7,0,1,0,0,0,4,1,289,232,0,4,11,2,6,0,0,3,23,8,0,0,23,46,18,3,26,10,31,9,18,14,10,4
"Argentina","Mediocampo","-AMC-AML-AMR-",180,70,"Ángel","Di María",1988-02-13 19:00:00,2,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Ángel Di María",26,5,0,2,1,0,0,1,0,242,186,0,0,7,0,3,0,2,11,24,9,0,0,11,25,9,0,13,14,47,14,26,18,3,1
"Argentina","Defensa","-DC-DMC-",184,80,"Martín","Demichelis",1980-12-19 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Martín Demichelis",33,3,0,0,1,0,0,0,0,138,124,9,6,5,17,4,2,20,2,0,0,1,0,0,0,3,0,1,0,0,0,7,4,0,0
"Argentina","Defensa","-DC-DMC-",174,74,"Javier","Mascherano",1984-06-07 19:00:00,4,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Javier Mascherano",30,7,0,0,1,0,0,0,0,576,515,11,7,30,18,10,0,13,9,4,2,6,0,8,1,16,0,3,3,2,0,89,74,2,0
"Argentina","Defensa","-DC-DL-",187,80,"Marcos","Rojo",1990-03-19 19:00:00,5,"D(CL)","Defender (Center, Left)","Marcos Rojo",24,6,0,1,2,0,0,1,0,247,200,10,6,20,15,7,0,22,4,8,2,2,0,9,3,7,0,5,6,29,6,9,3,0,0
"Argentina","Defensa","-DC-",185,80,"Ezequiel","Garay",1986-10-09 19:00:00,6,"D(C)","Defender (Center)","Ezequiel Garay",27,7,0,0,1,0,0,0,0,320,300,20,6,9,15,7,8,71,0,7,1,2,0,2,0,2,0,0,0,0,0,38,30,0,0
"Argentina","Defensa","-DC-",190,83,"Federico","Fernández",1989-02-20 19:00:00,7,"D(C)","Defender (Center)","Federico Fernández",25,4,0,0,0,0,0,0,0,207,185,9,2,8,6,4,2,27,3,2,1,4,0,0,0,7,0,0,1,0,0,20,17,0,0
"Argentina","Defensa","-DL-DR-",174,74,"Pablo","Zabaleta",1985-01-15 19:00:00,8,"D(LR)","Defender (Left, Right)","Pablo Zabaleta",29,7,0,0,0,0,0,0,0,276,227,5,6,24,11,6,2,23,6,1,0,3,0,2,1,5,0,7,4,11,2,28,11,0,0
"Argentina","Defensa","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,9,"D(C)","Defender (Center)","Hugo Campagnaro",34,1,0,1,0,0,0,0,0,39,39,1,2,0,2,0,1,3,0,0,0,1,0,0,1,2,0,0,1,0,0,5,5,0,0
"Argentina","Defensa",NA,188,78,"José","Basanta",1984-04-02 18:00:00,10,"D","Defender","José Basanta",30,1,1,0,0,0,0,0,0,35,29,0,3,3,3,2,3,7,1,0,0,1,0,0,0,2,0,1,0,2,1,1,1,0,0
"Argentina","Mediocampo","-DMC-",178,73,"Fernando","Gago",1986-04-09 18:00:00,11,"DM(C)","Defensive Midfielder (Center)","Fernando Gago",28,3,3,1,0,0,0,0,0,364,328,6,3,11,4,5,0,6,12,2,0,0,0,10,1,10,0,0,4,2,0,33,28,2,1
"Argentina","Mediocampo","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,12,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,1,1,1,0,0,0,0,0,36,35,0,2,3,2,0,0,0,0,2,1,0,0,1,1,0,0,1,1,2,0,0,0,1,1
"Argentina","Arquero","-GK-",192,83,"Sergio","Romero",1987-02-21 19:00:00,13,"GK","Goalkeeper","Sergio Romero",27,7,0,0,0,0,0,0,0,178,98,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,113,36,0,0
"Argentina","Mediocampo","-MC-",177,71,"Enzo","Pérez",1986-02-21 19:00:00,14,"M(C)","Midfielder (Center)","Enzo Pérez",28,2,1,2,0,0,0,0,0,92,83,0,2,3,2,0,0,1,3,0,0,1,0,3,4,3,1,7,4,1,1,5,4,1,0
"Argentina","Delantero","-AMC-AML-AMR-FW-",173,75,"Ezequiel","Lavezzi",1985-05-02 19:00:00,15,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Ezequiel Lavezzi",29,4,2,4,0,0,0,0,1,112,87,2,2,5,1,2,0,1,3,5,2,0,0,6,10,12,1,10,5,27,4,3,2,0,0
"Argentina","Delantero","-AMR-FW-",184,79,"Gonzalo","Higuaín",1987-12-09 19:00:00,16,"AM(R),FW","Attacking Midfielder (Right) / Forward","Gonzalo Higuaín",26,6,1,5,0,0,0,1,1,135,114,2,16,2,2,5,0,5,7,15,4,0,0,6,2,6,4,13,13,3,0,6,4,1,1
"Argentina","Mediocampo","-DMC-",178,63,"Lucas","Biglia",1986-01-29 19:00:00,17,"DM(C)","Defensive Midfielder (Center)","Lucas Biglia",28,3,4,0,1,0,0,0,0,166,143,4,4,6,8,6,1,3,6,1,0,0,0,4,0,9,0,2,3,0,0,11,10,2,1
"Argentina","Delantero","-AMC-AML-AMR-FW-",175,66,"Rodrigo","Palacio",1982-02-04 19:00:00,18,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Rodrigo Palacio",32,0,5,0,0,0,0,0,0,41,26,2,5,1,0,6,0,4,2,6,2,0,0,1,5,0,0,2,9,3,0,1,1,0,0
"Argentina","Delantero","-AMC-AML-FW-",173,70,"Sergio","Agüero",1988-06-01 19:00:00,19,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Sergio Agüero",26,3,2,3,1,0,0,0,0,64,46,4,11,3,2,4,0,1,4,8,1,0,0,1,0,3,1,6,7,5,0,1,0,0,0
"Argentina","Mediocampo","-AMC-AML-AMR-",188,73,"Ricardo","Álvarez",1988-04-11 19:00:00,20,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Ricardo Álvarez",26,0,1,0,0,0,0,0,0,11,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0
"Argentina","Arquero",NA,190,83,"Agustín","Orión",1981-07-25 19:00:00,21,"GK","Goalkeeper","Agustín Orión",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Mediocampo","-AMC-AML-AMR-",177,71,"Augusto","Fernández",1986-04-09 18:00:00,22,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Augusto Fernández",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Arquero","-GK-",194,87,"Mariano","Andujar",1983-07-29 19:00:00,23,"GK","Goalkeeper","Mariano Andujar",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","Delantero","-AMC-AML-AMR-",174,64,"Neymar da Silva","Santos Júnior",1992-02-04 19:00:00,1,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Neymar",22,5,0,3,1,0,0,4,1,162,128,4,3,7,1,8,0,0,6,18,9,1,0,13,17,18,3,6,16,33,10,13,9,2,1
"Brazil","Defensa","-DC-DR-",173,64,"Daniel","Alves da Silva",1983-05-05 19:00:00,2,"D(CR)","Defender (Center, Right)","Dani Alves",31,4,0,0,1,0,0,0,0,219,184,4,3,17,9,4,0,12,6,5,1,0,0,4,6,6,0,1,3,13,2,23,15,3,2
"Brazil","Mediocampo","-AMC-AML-AMR-",179,67,"Oscar","dos Santos Emboaba Junior",1991-09-08 19:00:00,3,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Oscar",22,7,0,2,1,0,0,2,2,262,206,6,4,26,7,9,0,7,14,14,8,0,0,9,13,13,2,8,14,29,6,23,19,3,2
"Brazil","Defensa","-DC-DMC-",189,86,"David","Luiz Moreira Marinho",1987-04-21 19:00:00,4,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","David Luiz",27,7,0,0,0,0,0,2,1,331,268,16,6,13,15,12,3,37,4,9,5,3,0,2,8,11,0,1,3,3,2,92,54,2,1
"Brazil","Mediocampo","-DC-DL-DMC-",187,80,"Luiz Gustavo","Dias",1987-07-22 19:00:00,5,"D(CL),DM(C)","Defender (Center, Left) / Defensive Midfielder (Center)","Luiz Gustavo",27,6,0,1,2,0,0,0,1,280,255,18,8,13,23,15,0,16,8,3,0,0,0,6,4,13,0,3,4,5,1,36,31,0,0
"Brazil","Defensa","-DC-",183,79,"Thiago Emiliano","da Silva",1984-09-21 19:00:00,6,"D(C)","Defender (Center)","Thiago Silva",29,6,0,0,3,0,0,1,0,270,236,15,7,8,10,5,4,47,2,2,2,9,0,3,0,6,0,0,1,0,0,53,35,0,0
"Brazil","Defensa","-DL-MC-ML-",174,75,"Marcelo Vieira","Da Silva Junior",1988-05-11 19:00:00,7,"D(L),M(CL)","Defender (Left) / Midfielder (Center, Left)","Marcelo",26,6,0,0,0,0,0,0,2,289,240,2,10,18,12,9,1,10,4,8,0,1,1,10,12,12,0,0,4,13,1,25,12,2,1
"Brazil","Delantero","-FW-",185,75,"Frederico","Chaves Guedes",1983-10-02 19:00:00,8,"FW","Forward","Fred",30,6,0,3,0,0,0,1,0,106,71,8,10,1,1,6,0,6,1,12,5,0,0,3,0,7,4,5,7,1,0,5,4,2,1
"Brazil","Delantero","-AML-AMR-FW-",180,85,"Givanildo","Vieira de Souza",1986-07-24 19:00:00,9,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Hulk",28,5,1,4,1,0,0,0,0,90,64,7,2,3,4,8,1,4,6,14,5,0,0,5,13,14,1,7,13,15,3,6,2,0,0
"Brazil","Mediocampo","-MC-",181,77,"José Paulo","Bezerra Maciel Júnior",1988-07-24 19:00:00,10,"M(C)","Midfielder (Center)","Paulinho",26,5,1,4,0,0,0,0,0,116,98,4,5,9,3,9,0,4,5,7,6,0,0,4,4,3,2,1,7,0,0,9,7,0,0
"Brazil","Mediocampo","-DMC-",179,67,"Fernando","Luiz Rosa",1985-05-03 19:00:00,11,"DM(C)","Defensive Midfielder (Center)","Fernandinho",29,3,2,2,1,0,0,1,0,141,122,3,1,13,2,14,0,7,7,3,1,1,0,1,4,7,0,1,0,2,0,14,10,0,0
"Brazil","Defensa","-DR-",184,77,"Maicon Douglas","Sisenando",1981-07-25 19:00:00,12,"D(R)","Defender (Right)","Maicon",33,3,0,0,0,0,0,0,0,110,94,3,2,6,6,2,0,8,2,2,0,0,0,1,4,4,0,0,2,7,1,3,2,0,0
"Brazil","Mediocampo","-MC-ML-MR-",180,70,"Ramires","Santos do Nascimento",1987-03-23 19:00:00,13,"M(CLR)","Midfielder (Center, Left, Right)","Ramires",27,2,5,2,1,0,0,0,1,75,59,6,3,7,4,9,0,4,2,6,1,0,0,4,3,6,1,3,4,4,0,4,3,1,1
"Brazil","Mediocampo","-MC-",180,76,"Anderson Hernanes","de Carvalho Andrade Lima",1985-05-28 19:00:00,14,"M(C)","Midfielder (Center)","Hernanes",29,0,3,0,0,0,0,0,0,30,24,1,0,4,2,4,0,1,0,0,0,0,0,1,4,2,0,3,2,2,0,5,2,0,0
"Brazil","Mediocampo","-AMC-AML-AMR-",175,75,"Willian","Borges Da Silva",1988-08-08 19:00:00,15,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Willian",26,1,4,0,0,0,0,0,0,94,89,0,3,2,0,3,0,1,2,3,1,0,0,8,4,2,0,1,3,8,1,8,8,2,2
"Brazil","Mediocampo",NA,166,57,"Bernard","Anício Caldeira Duarte",1992-09-07 19:00:00,16,"M","Midfielder","Bernard",21,1,2,0,0,0,0,0,0,58,51,1,2,1,1,2,0,2,3,1,0,0,0,3,2,2,0,1,5,11,2,3,2,1,1
"Brazil","Defensa","-DC-DR-",187,84,"Henrique","Adriano Buss",1986-10-13 19:00:00,17,"D(CR)","Defender (Center, Right)","Henrique",27,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","Arquero","-GK-",186,80,"Julio Cesar","Soares De Espindola",1979-09-02 19:00:00,18,"GK","Goalkeeper","Julio César",34,7,0,0,1,0,0,0,0,96,67,0,1,1,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,49,22,0,0
"Brazil","Delantero","-FW-",191,78,"João Alves","de Assis Silva",1987-03-19 19:00:00,19,"FW","Forward","Jô",27,1,2,0,1,0,0,0,0,51,35,9,9,0,0,1,0,2,0,4,0,1,0,1,0,2,1,0,2,3,0,0,0,0,0
"Brazil","Defensa","-DL-DMC-",176,73,"Maxwell","Cabelino Andrade",1981-08-26 19:00:00,20,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Maxwell",32,1,0,0,0,0,0,0,0,37,34,3,2,0,1,1,0,6,2,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0
"Brazil","Defensa","-DC-",188,87,"Dante Bonfim","Costa Santos",1983-10-17 19:00:00,21,"D(C)","Defender (Center)","Dante",30,1,0,0,1,0,0,0,0,53,47,0,2,0,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,8,4,0,0
"Brazil","Arquero","-GK-",190,80,"Jefferson","de Oliveira Galvao",1983-01-01 19:00:00,22,"GK","Goalkeeper","Jefferson",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","Arquero","-GK-",193,84,"Victor Leandro","Bagy",1983-01-20 19:00:00,23,"GK","Goalkeeper","Victor",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","Mediocampo","-AMC-AML-AMR-FW-",186,75,"Thomas","Müller",1989-09-12 19:00:00,1,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Thomas Müller",24,7,0,1,0,0,0,5,3,260,196,14,19,7,2,14,0,1,6,16,8,2,0,17,12,17,8,12,19,19,4,10,4,0,0
